,precision,recall,f1-score,support
AnnualCrop,0.8588469184890656,0.9152542372881356,0.8861538461538462,472.0
Forest,0.8810020876826722,0.9547511312217195,0.9163952225841476,442.0
HerbaceousVegetation,0.8004385964912281,0.7969432314410481,0.7986870897155361,458.0
Highway,0.8337950138504155,0.7698209718670077,0.800531914893617,391.0
Industrial,0.8839779005524862,0.8465608465608465,0.8648648648648649,378.0
Pasture,0.8597122302158273,0.7993311036789298,0.82842287694974,299.0
PermanentCrop,0.7722222222222223,0.7335092348284961,0.7523680649526387,379.0
Residential,0.8788546255506607,0.8866666666666667,0.8827433628318584,450.0
River,0.885558583106267,0.8666666666666667,0.876010781671159,375.0
SeaLake,0.9279069767441861,0.9827586206896551,0.9545454545454546,406.0
accuracy,0.8592592592592593,0.8592592592592593,0.8592592592592593,0.8592592592592593
macro avg,0.858231515490503,0.8552262710909172,0.8560723479162864,4050.0
weighted avg,0.8581635812536929,0.8592592592592593,0.8580658854988505,4050.0
